,Year,District.Code,District.Name,Neighborhood.Code,Neighborhood.Name,Gender,Number
190,2016,8,Nou Barris,45,Porta,Male,548
191,2016,8,Nou Barris,46,el Turó de la Peira,Male,336
192,2016,8,Nou Barris,47,Can Peguera,Male,31
193,2016,8,Nou Barris,48,la Guineueta,Male,204
194,2016,8,Nou Barris,49,Canyelles,Male,64
195,2016,8,Nou Barris,50,les Roquetes,Male,383
196,2016,8,Nou Barris,51,Verdun,Male,273
197,2016,8,Nou Barris,52,la Prosperitat,Male,475
198,2016,8,Nou Barris,53,la Trinitat Nova,Male,171
199,2016,8,Nou Barris,54,Torre Baró,Male,55
200,2016,8,Nou Barris,55,Ciutat Meridiana,Male,316
201,2016,8,Nou Barris,56,Vallbona,Male,37
202,2016,9,Sant Andreu,57,la Trinitat Vella,Male,300
203,2016,9,Sant Andreu,58,Baró de Viver,Male,40
204,2016,9,Sant Andreu,59,el Bon Pastor,Male,251
205,2016,9,Sant Andreu,60,Sant Andreu,Male,854
206,2016,9,Sant Andreu,61,la Sagrera,Male,533
207,2016,9,Sant Andreu,62,el Congrés i els Indians,Male,251
208,2016,9,Sant Andreu,63,Navas,Male,443
209,2016,10,Sant Marti,64,el Camp de l'Arpa del Clot,Male,920
210,2016,10,Sant Marti,65,el Clot,Male,570
211,2016,10,Sant Marti,66,el Parc i la Llacuna del Poblenou,Male,450
212,2016,10,Sant Marti,67,la Vila Olímpica del Poblenou,Male,196
213,2016,10,Sant Marti,68,el Poblenou,Male,807
214,2016,10,Sant Marti,69,Diagonal Mar i el Front Marítim del Poblenou,Male,337
215,2016,10,Sant Marti,70,el Besòs i el Maresme,Male,871
216,2016,10,Sant Marti,71,Provençals del Poblenou,Male,398
217,2016,10,Sant Marti,72,Sant Marti de Provençals,Male,502
218,2016,10,Sant Marti,73,la Verneda i la Pau,Male,506
219,2016,1,Ciutat Vella,1,el Raval,Female,2157
220,2016,1,Ciutat Vella,2,el Barri Gòtic,Female,1063
221,2016,1,Ciutat Vella,3,la Barceloneta,Female,763
222,2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,1167
223,2016,2,Eixample,5,el Fort Pienc,Female,1032
224,2016,2,Eixample,6,la Sagrada Família,Female,1683
225,2016,2,Eixample,7,la Dreta de l'Eixample,Female,1576
226,2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,1499
227,2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,1819
228,2016,2,Eixample,10,Sant Antoni,Female,1079
229,2016,3,Sants-Montjuic,11,el Poble Sec,Female,1290
230,2016,3,Sants-Montjuic,12,la Marina del Prat Vermell,Female,17
231,2016,3,Sants-Montjuic,13,la Marina de Port,Female,679
232,2016,3,Sants-Montjuic,14,la Font de la Guatlla,Female,298
233,2016,3,Sants-Montjuic,15,Hostafrancs,Female,505
234,2016,3,Sants-Montjuic,16,la Bordeta,Female,445
235,2016,3,Sants-Montjuic,17,Sants - Badal,Female,724
236,2016,3,Sants-Montjuic,18,Sants,Female,1201
237,2016,4,Les Corts,19,les Corts,Female,1070
238,2016,4,Les Corts,20,la Maternitat i Sant Ramon,Female,622
239,2016,4,Les Corts,21,Pedralbes,Female,366
240,2016,5,Sarria-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,75
241,2016,5,Sarria-Sant Gervasi,23,Sarrià,Female,589
242,2016,5,Sarria-Sant Gervasi,24,les Tres Torres,Female,348
243,2016,5,Sarria-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,597
244,2016,5,Sarria-Sant Gervasi,26,Sant Gervasi - Galvany,Female,1228
245,2016,5,Sarria-Sant Gervasi,27,el Putxet i el Farró,Female,691
246,2016,6,Gracia,28,Vallcarca i els Penitents,Female,354
247,2016,6,Gracia,29,el Coll,Female,171
248,2016,6,Gracia,30,la Salut,Female,305
249,2016,6,Gracia,31,la Vila de Gracia,Female,1650
250,2016,6,Gracia,32,el Camp d'en Grassot i Gracia Nova,Female,803
251,2016,7,Horta-Guinardo,33,el Baix Guinardó,Female,550
252,2016,7,Horta-Guinardo,34,Can Baró,Female,200
253,2016,7,Horta-Guinardo,35,el Guinardó,Female,852
254,2016,7,Horta-Guinardo,36,la Font d'en Fargues,Female,103
255,2016,7,Horta-Guinardo,37,el Carmel,Female,598
256,2016,7,Horta-Guinardo,38,la Teixonera,Female,268
257,2016,7,Horta-Guinardo,39,Sant Genís dels Agudells,Female,170
258,2016,7,Horta-Guinardo,40,Montbau,Female,134
259,2016,7,Horta-Guinardo,41,la Vall d'Hebron,Female,98
260,2016,7,Horta-Guinardo,42,la Clota,Female,15
261,2016,7,Horta-Guinardo,43,Horta,Female,506
262,2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,509
263,2016,8,Nou Barris,45,Porta,Female,618
